INFO:root:Epoch 98: Train Loss = 0.06108757480978966, Test Loss = 0.2449045032262802, Time = 0.20s
INFO:root:Epoch 99: Train Loss = 0.061540248617529866, Test Loss = 0.24192868173122406, Time = 0.20s
INFO:root:Epoch 100: Train Loss = 0.06179255247116089, Test Loss = 0.2397046759724617, Time = 0.20s
INFO:root:Epoch 101: Train Loss = 0.06305363513529301, Test Loss = 0.2404453605413437, Time = 0.20s
INFO:root:Epoch 102: Train Loss = 0.060415695607662204, Test Loss = 0.24281196296215057, Time = 0.20s
INFO:root:Epoch 103: Train Loss = 0.05847621969878673, Test Loss = 0.24392911791801453, Time = 0.20s
INFO:root:Epoch 104: Train Loss = 0.06028482541441917, Test Loss = 0.2450954020023346, Time = 0.20s
INFO:root:Epoch 105: Train Loss = 0.05913501679897308, Test Loss = 0.24519534409046173, Time = 0.20s
INFO:root:Epoch 106: Train Loss = 0.062032024189829824, Test Loss = 0.2441660836338997, Time = 0.20s
INFO:root:Epoch 107: Train Loss = 0.05906948298215866, Test Loss = 0.24312127381563187, Time = 0.20s
INFO:root:Epoch 108: Train Loss = 0.05689829625189304, Test Loss = 0.24275293201208115, Time = 0.20s
INFO:root:Epoch 109: Train Loss = 0.06052984334528446, Test Loss = 0.24288330972194672, Time = 0.20s
INFO:root:Epoch 110: Train Loss = 0.06123856976628304, Test Loss = 0.24138345569372177, Time = 0.20s
INFO:root:Epoch 111: Train Loss = 0.05994460619986057, Test Loss = 0.24137809872627258, Time = 0.20s
INFO:root:Epoch 112: Train Loss = 0.061292358487844464, Test Loss = 0.24220940470695496, Time = 0.20s
INFO:root:Epoch 113: Train Loss = 0.060464543476700786, Test Loss = 0.24400262534618378, Time = 0.21s
INFO:root:Epoch 114: Train Loss = 0.061172157526016235, Test Loss = 0.24214720726013184, Time = 0.19s
INFO:root:Epoch 115: Train Loss = 0.05815336927771568, Test Loss = 0.2451845183968544, Time = 0.19s
INFO:root:Epoch 116: Train Loss = 0.05853290818631649, Test Loss = 0.24408376216888428, Time = 0.20s
INFO:root:Epoch 117: Train Loss = 0.058102207630872725, Test Loss = 0.24077335000038147, Time = 0.20s
INFO:root:Epoch 118: Train Loss = 0.05980772152543068, Test Loss = 0.24126748740673065, Time = 0.19s
INFO:root:Epoch 119: Train Loss = 0.05922867134213448, Test Loss = 0.24447466433048248, Time = 0.20s
INFO:root:Epoch 120: Train Loss = 0.06067472882568836, Test Loss = 0.24238980561494827, Time = 0.19s
INFO:root:Epoch 121: Train Loss = 0.058927828818559645, Test Loss = 0.24081926047801971, Time = 0.20s
INFO:root:Epoch 122: Train Loss = 0.05849984772503376, Test Loss = 0.24135933816432953, Time = 0.19s
INFO:root:Epoch 123: Train Loss = 0.05794217549264431, Test Loss = 0.24316413700580597, Time = 0.20s
INFO:root:Epoch 124: Train Loss = 0.06000218912959099, Test Loss = 0.24287612736225128, Time = 0.19s
INFO:root:Epoch 125: Train Loss = 0.05898963771760464, Test Loss = 0.24146197736263275, Time = 0.21s
INFO:root:Epoch 126: Train Loss = 0.058872035890817645, Test Loss = 0.24273043125867844, Time = 0.19s
INFO:root:Epoch 127: Train Loss = 0.05918439738452434, Test Loss = 0.2423631101846695, Time = 0.20s
INFO:root:Epoch 128: Train Loss = 0.058741426467895506, Test Loss = 0.24023886024951935, Time = 0.19s
INFO:root:Epoch 129: Train Loss = 0.057901584357023236, Test Loss = 0.2385401353240013, Time = 0.20s
INFO:root:Epoch 130: Train Loss = 0.06092485077679157, Test Loss = 0.23920415341854095, Time = 0.20s
INFO:root:Epoch 131: Train Loss = 0.05752958692610264, Test Loss = 0.2406551092863083, Time = 0.19s
INFO:root:Epoch 132: Train Loss = 0.06284410655498504, Test Loss = 0.24171561002731323, Time = 0.20s
INFO:root:Epoch 133: Train Loss = 0.06094433553516865, Test Loss = 0.2412046119570732, Time = 0.19s
INFO:root:Epoch 134: Train Loss = 0.05772252157330513, Test Loss = 0.24086807668209076, Time = 0.20s
INFO:root:Epoch 135: Train Loss = 0.058677425235509874, Test Loss = 0.24057619273662567, Time = 0.19s
INFO:root:Epoch 136: Train Loss = 0.05799478106200695, Test Loss = 0.2404864877462387, Time = 0.20s
INFO:root:Epoch 137: Train Loss = 0.06008170731365681, Test Loss = 0.24041178077459335, Time = 0.19s
INFO:root:Epoch 138: Train Loss = 0.05738607905805111, Test Loss = 0.2411700263619423, Time = 0.20s
INFO:root:Epoch 139: Train Loss = 0.057892948016524316, Test Loss = 0.2409190684556961, Time = 0.20s
INFO:root:Epoch 140: Train Loss = 0.05804640855640173, Test Loss = 0.24050770699977875, Time = 0.20s
INFO:root:Epoch 141: Train Loss = 0.05932437516748905, Test Loss = 0.2412155121564865, Time = 0.19s
INFO:root:Epoch 142: Train Loss = 0.0592744491994381, Test Loss = 0.2412780076265335, Time = 0.20s
INFO:root:Epoch 143: Train Loss = 0.05879650786519051, Test Loss = 0.2406250238418579, Time = 0.20s
INFO:root:Epoch 144: Train Loss = 0.05698313154280186, Test Loss = 0.24000298976898193, Time = 0.20s
INFO:root:Epoch 145: Train Loss = 0.056595562025904655, Test Loss = 0.23958563059568405, Time = 0.20s
INFO:root:Epoch 146: Train Loss = 0.0602913711220026, Test Loss = 0.23947866261005402, Time = 0.20s
INFO:root:Epoch 147: Train Loss = 0.058150522597134116, Test Loss = 0.23957113176584244, Time = 0.19s
INFO:root:Epoch 148: Train Loss = 0.056007244810462, Test Loss = 0.23970168083906174, Time = 0.20s
INFO:root:Epoch 149: Train Loss = 0.05951411314308643, Test Loss = 0.23975684493780136, Time = 0.18s
INFO:root:Epoch 150: Train Loss = 0.05947805643081665, Test Loss = 0.23965147137641907, Time = 0.20s
INFO:root:Epoch 151: Train Loss = 0.05911615528166294, Test Loss = 0.239798404276371, Time = 0.20s
INFO:root:Epoch 152: Train Loss = 0.05943448841571808, Test Loss = 0.2398834377527237, Time = 0.19s
INFO:root:Epoch 153: Train Loss = 0.05971675366163254, Test Loss = 0.24019774049520493, Time = 0.19s
INFO:root:Epoch 154: Train Loss = 0.05834959000349045, Test Loss = 0.2410682588815689, Time = 0.20s
INFO:root:Epoch 155: Train Loss = 0.0582059595733881, Test Loss = 0.24184466898441315, Time = 0.20s
INFO:root:Epoch 156: Train Loss = 0.05833886377513409, Test Loss = 0.24201397597789764, Time = 0.20s
INFO:root:Epoch 157: Train Loss = 0.05928835980594158, Test Loss = 0.24145879596471786, Time = 0.20s
INFO:root:Epoch 158: Train Loss = 0.05768025703728199, Test Loss = 0.24076838791370392, Time = 0.19s
INFO:root:Epoch 159: Train Loss = 0.0591116439551115, Test Loss = 0.24020607769489288, Time = 0.20s
INFO:root:Epoch 160: Train Loss = 0.058405814319849016, Test Loss = 0.23991340398788452, Time = 0.20s
INFO:root:Epoch 161: Train Loss = 0.05774992257356644, Test Loss = 0.23987367004156113, Time = 0.20s
INFO:root:Epoch 162: Train Loss = 0.059104607254266736, Test Loss = 0.24005427211523056, Time = 0.19s
INFO:root:Epoch 163: Train Loss = 0.05810633897781372, Test Loss = 0.24027572572231293, Time = 0.20s
INFO:root:Epoch 164: Train Loss = 0.05905353873968124, Test Loss = 0.2405753806233406, Time = 0.20s
INFO:root:Epoch 165: Train Loss = 0.057419378682971, Test Loss = 0.2408832460641861, Time = 0.20s
INFO:root:Epoch 166: Train Loss = 0.06016252711415291, Test Loss = 0.2411530464887619, Time = 0.20s
INFO:root:Epoch 167: Train Loss = 0.05865607000887394, Test Loss = 0.24130432307720184, Time = 0.19s
INFO:root:Epoch 168: Train Loss = 0.057952982187271115, Test Loss = 0.24112558364868164, Time = 0.21s
INFO:root:Epoch 169: Train Loss = 0.056921808421611785, Test Loss = 0.2408316284418106, Time = 0.20s
INFO:root:Epoch 170: Train Loss = 0.061004063487052916, Test Loss = 0.24050571024417877, Time = 0.20s
INFO:root:Epoch 171: Train Loss = 0.06180512309074402, Test Loss = 0.2403157576918602, Time = 0.20s
INFO:root:Epoch 172: Train Loss = 0.05905752591788769, Test Loss = 0.2401847317814827, Time = 0.19s
INFO:root:Epoch 173: Train Loss = 0.056912722438573836, Test Loss = 0.24012043327093124, Time = 0.19s
INFO:root:Epoch 174: Train Loss = 0.058425791561603546, Test Loss = 0.24006343632936478, Time = 0.20s
INFO:root:Epoch 175: Train Loss = 0.058695095404982564, Test Loss = 0.2399836704134941, Time = 0.20s
INFO:root:Epoch 176: Train Loss = 0.05859291963279247, Test Loss = 0.23984752595424652, Time = 0.22s
INFO:root:Epoch 177: Train Loss = 0.05881190411746502, Test Loss = 0.23983684927225113, Time = 0.20s
INFO:root:Epoch 178: Train Loss = 0.0573894988745451, Test Loss = 0.2399527058005333, Time = 0.27s
INFO:root:Epoch 179: Train Loss = 0.06039435602724552, Test Loss = 0.2400280088186264, Time = 0.25s
INFO:root:Epoch 180: Train Loss = 0.0572184719145298, Test Loss = 0.2400609627366066, Time = 0.22s
INFO:root:Epoch 181: Train Loss = 0.058506784960627556, Test Loss = 0.24005232006311417, Time = 0.20s
INFO:root:Epoch 182: Train Loss = 0.058693837374448776, Test Loss = 0.24003994464874268, Time = 0.20s
INFO:root:Epoch 183: Train Loss = 0.059045391529798506, Test Loss = 0.23999032378196716, Time = 0.19s
INFO:root:Epoch 184: Train Loss = 0.060638570412993434, Test Loss = 0.23996108025312424, Time = 0.20s
INFO:root:Epoch 185: Train Loss = 0.06117554381489754, Test Loss = 0.2399451732635498, Time = 0.20s
INFO:root:Epoch 186: Train Loss = 0.0576327558606863, Test Loss = 0.23994891345500946, Time = 0.19s
INFO:root:Epoch 187: Train Loss = 0.05770013891160488, Test Loss = 0.23998478055000305, Time = 0.20s
INFO:root:Epoch 188: Train Loss = 0.0586431048810482, Test Loss = 0.23998544365167618, Time = 0.19s
INFO:root:Epoch 189: Train Loss = 0.06234175153076649, Test Loss = 0.2399776354432106, Time = 0.20s
INFO:root:Epoch 190: Train Loss = 0.05822558104991913, Test Loss = 0.2399987429380417, Time = 0.20s
INFO:root:Epoch 191: Train Loss = 0.05929647982120514, Test Loss = 0.2400398626923561, Time = 0.19s
INFO:root:Epoch 192: Train Loss = 0.056854048371315004, Test Loss = 0.2401009425520897, Time = 0.20s
INFO:root:Epoch 193: Train Loss = 0.05680231750011444, Test Loss = 0.2401256039738655, Time = 0.19s
INFO:root:Epoch 194: Train Loss = 0.05897507574409246, Test Loss = 0.24015407264232635, Time = 0.20s
INFO:root:Epoch 195: Train Loss = 0.05648743212223053, Test Loss = 0.2401590645313263, Time = 0.19s
INFO:root:Epoch 196: Train Loss = 0.05763765461742878, Test Loss = 0.24015330523252487, Time = 0.20s
INFO:root:Epoch 197: Train Loss = 0.058491024374961856, Test Loss = 0.2401549220085144, Time = 0.19s
INFO:root:Epoch 198: Train Loss = 0.0579385532066226, Test Loss = 0.24013813585042953, Time = 0.20s
INFO:root:Epoch 199: Train Loss = 0.05825650729238987, Test Loss = 0.24013441801071167, Time = 0.20s
INFO:root:Epoch 200: Train Loss = 0.05798075869679451, Test Loss = 0.2401352897286415, Time = 0.20s
INFO:root:Epoch 201: Train Loss = 0.05641203448176384, Test Loss = 0.24013463407754898, Time = 0.20s
INFO:root:Epoch 202: Train Loss = 0.057284750416874884, Test Loss = 0.24013199657201767, Time = 0.20s
